year,month,precinct,offense_category,0
2021,December,02,WEAPONS OFFENSES,23
2021,December,03,AGGRAVATED ASSAULT,34
2021,December,03,ARSON,1
2021,December,03,ASSAULT,100
2021,December,03,BURGLARY,39
2021,December,03,DAMAGE TO PROPERTY,88
2021,December,03,DANGEROUS DRUGS,5
2021,December,03,DISORDERLY CONDUCT,1
2021,December,03,EXTORTION,1
2021,December,03,FAMILY OFFENSE,4
2021,December,03,FORGERY,5
2021,December,03,FRAUD,38
2021,December,03,JUSTIFIABLE HOMICIDE,1
2021,December,03,LARCENY,179
2021,December,03,OBSTRUCTING JUDICIARY,6
2021,December,03,OBSTRUCTING THE POLICE,7
2021,December,03,OTHER,11
2021,December,03,ROBBERY,13
2021,December,03,SEX OFFENSES,9
2021,December,03,SEXUAL ASSAULT,2
2021,December,03,STOLEN PROPERTY,7
2021,December,03,STOLEN VEHICLE,49
2021,December,03,WEAPONS OFFENSES,9
2021,December,04,AGGRAVATED ASSAULT,35
2021,December,04,ARSON,2
2021,December,04,ASSAULT,69
2021,December,04,BURGLARY,20
2021,December,04,DAMAGE TO PROPERTY,38
2021,December,04,DANGEROUS DRUGS,11
2021,December,04,DISORDERLY CONDUCT,1
2021,December,04,FAMILY OFFENSE,2
2021,December,04,FORGERY,1
2021,December,04,FRAUD,28
2021,December,04,HOMICIDE,6
2021,December,04,KIDNAPPING,1
2021,December,04,LARCENY,58
2021,December,04,OBSTRUCTING JUDICIARY,7
2021,December,04,OBSTRUCTING THE POLICE,4
2021,December,04,OUIL,2
2021,December,04,ROBBERY,6
2021,December,04,RUNAWAY,1
2021,December,04,SEX OFFENSES,11
2021,December,04,SEXUAL ASSAULT,1
2021,December,04,STOLEN PROPERTY,9
2021,December,04,STOLEN VEHICLE,29
2021,December,04,WEAPONS OFFENSES,14
2021,December,05,AGGRAVATED ASSAULT,46
2021,December,05,ARSON,4
2021,December,05,ASSAULT,82
2021,December,05,BURGLARY,30
2021,December,05,DAMAGE TO PROPERTY,58
2021,December,05,DANGEROUS DRUGS,3
2021,December,05,DISORDERLY CONDUCT,1
2021,December,05,FAMILY OFFENSE,1
2021,December,05,FRAUD,41
2021,December,05,HOMICIDE,3
2021,December,05,KIDNAPPING,1
2021,December,05,LARCENY,81
2021,December,05,MISCELLANEOUS,3
2021,December,05,OBSTRUCTING JUDICIARY,4
2021,December,05,OBSTRUCTING THE POLICE,8
2021,December,05,OUIL,4
2021,December,05,ROBBERY,8
2021,December,05,SEX OFFENSES,3
2021,December,05,SEXUAL ASSAULT,4
2021,December,05,STOLEN PROPERTY,11
2021,December,05,STOLEN VEHICLE,56
2021,December,05,WEAPONS OFFENSES,28
2021,December,06,AGGRAVATED ASSAULT,85
2021,December,06,ARSON,4
2021,December,06,ASSAULT,139
2021,December,06,BURGLARY,57
2021,December,06,DAMAGE TO PROPERTY,96
2021,December,06,DANGEROUS DRUGS,5
2021,December,06,FAMILY OFFENSE,1
2021,December,06,FORGERY,3
2021,December,06,FRAUD,38
2021,December,06,HOMICIDE,4
2021,December,06,KIDNAPPING,2
2021,December,06,LARCENY,105
2021,December,06,MISCELLANEOUS,2
2021,December,06,OBSTRUCTING JUDICIARY,7
2021,December,06,OBSTRUCTING THE POLICE,11
2021,December,06,OTHER,1
2021,December,06,ROBBERY,7
2021,December,06,RUNAWAY,6
2021,December,06,SEX OFFENSES,6
2021,December,06,SEXUAL ASSAULT,5
2021,December,06,STOLEN PROPERTY,17
2021,December,06,STOLEN VEHICLE,69
2021,December,06,WEAPONS OFFENSES,28
2021,December,07,AGGRAVATED ASSAULT,29
2021,December,07,ARSON,3
2021,December,07,ASSAULT,64
2021,December,07,BURGLARY,25
2021,December,07,DAMAGE TO PROPERTY,53
2021,December,07,DANGEROUS DRUGS,12
2021,December,07,EXTORTION,1
2021,December,07,FAMILY OFFENSE,1
2021,December,07,FRAUD,27
2021,December,07,HOMICIDE,2
2021,December,07,JUSTIFIABLE HOMICIDE,1
2021,December,07,KIDNAPPING,1
2021,December,07,LARCENY,83
2021,December,07,MISCELLANEOUS,1
2021,December,07,OBSTRUCTING JUDICIARY,7
2021,December,07,OBSTRUCTING THE POLICE,4
2021,December,07,OTHER,1
2021,December,07,ROBBERY,9
2021,December,07,RUNAWAY,5
2021,December,07,SEX OFFENSES,1
2021,December,07,SEXUAL ASSAULT,3
2021,December,07,STOLEN PROPERTY,12
2021,December,07,STOLEN VEHICLE,52
2021,December,07,WEAPONS OFFENSES,4
2021,December,08,AGGRAVATED ASSAULT,93
2021,December,08,ARSON,4
2021,December,08,ASSAULT,132
2021,December,08,BURGLARY,61
2021,December,08,DAMAGE TO PROPERTY,98
2021,December,08,DANGEROUS DRUGS,10
2021,December,08,FAMILY OFFENSE,3
2021,December,08,FORGERY,6
2021,December,08,FRAUD,51
2021,December,08,HOMICIDE,2
2021,December,08,LARCENY,150
2021,December,08,MISCELLANEOUS,1
2021,December,08,OBSTRUCTING JUDICIARY,13
2021,December,08,OBSTRUCTING THE POLICE,28
2021,December,08,OTHER,1
2021,December,08,OUIL,2
2021,December,08,ROBBERY,13
2021,December,08,RUNAWAY,2
2021,December,08,SEX OFFENSES,2
2021,December,08,SEXUAL ASSAULT,7
2021,December,08,SOLICITATION,1
2021,December,08,STOLEN PROPERTY,26
2021,December,08,STOLEN VEHICLE,84
2021,December,08,WEAPONS OFFENSES,50
2021,December,09,AGGRAVATED ASSAULT,94
2021,December,09,ARSON,7
2021,December,09,ASSAULT,150
2021,December,09,BURGLARY,59
2021,December,09,DAMAGE TO PROPERTY,115
2021,December,09,DANGEROUS DRUGS,10
2021,December,09,DISORDERLY CONDUCT,1
2021,December,09,EXTORTION,1
2021,December,09,FAMILY OFFENSE,1
2021,December,09,FRAUD,37
2021,December,09,HOMICIDE,4
2021,December,09,JUSTIFIABLE HOMICIDE,2
2021,December,09,KIDNAPPING,2
2021,December,09,LARCENY,101
2021,December,09,OBSTRUCTING JUDICIARY,9
2021,December,09,OBSTRUCTING THE POLICE,14
2021,December,09,OTHER,2
2021,December,09,ROBBERY,9
2021,December,09,RUNAWAY,4
2021,December,09,SEX OFFENSES,2
2021,December,09,SEXUAL ASSAULT,6
2021,December,09,STOLEN PROPERTY,31
2021,December,09,STOLEN VEHICLE,75
2021,December,09,WEAPONS OFFENSES,70
2021,December,10,AGGRAVATED ASSAULT,69
2021,December,10,ARSON,2
2021,December,10,ASSAULT,94
2021,December,10,BURGLARY,47
2021,December,10,DAMAGE TO PROPERTY,90
2021,December,10,DANGEROUS DRUGS,7
2021,December,10,FORGERY,3
2021,December,10,FRAUD,30
2021,December,10,HOMICIDE,2
2021,December,10,JUSTIFIABLE HOMICIDE,1
2021,December,10,KIDNAPPING,1
2021,December,10,LARCENY,68
2021,December,10,MISCELLANEOUS,1
2021,December,10,OBSTRUCTING JUDICIARY,7
2021,December,10,OBSTRUCTING THE POLICE,11
2021,December,10,OTHER,1
2021,December,10,OUIL,2
2021,December,10,ROBBERY,12
2021,December,10,SEX OFFENSES,3
2021,December,10,SEXUAL ASSAULT,1
2021,December,10,STOLEN PROPERTY,16
