year,year_month,precinct,offense_category,counts,crime_bucket
2019,2019-12,05,WEAPONS OFFENSES,12,Weapons
2019,2019-12,06,WEAPONS OFFENSES,9,Weapons
2019,2019-12,07,WEAPONS OFFENSES,6,Weapons
2019,2019-12,08,WEAPONS OFFENSES,24,Weapons
2019,2019-12,09,WEAPONS OFFENSES,21,Weapons
2019,2019-12,10,WEAPONS OFFENSES,7,Weapons
2019,2019-12,11,WEAPONS OFFENSES,7,Weapons
2019,2019-12,12,WEAPONS OFFENSES,12,Weapons
2020,2020-01,02,WEAPONS OFFENSES,9,Weapons
2020,2020-01,03,WEAPONS OFFENSES,11,Weapons
2020,2020-01,04,WEAPONS OFFENSES,12,Weapons
2020,2020-01,05,WEAPONS OFFENSES,10,Weapons
2020,2020-01,06,WEAPONS OFFENSES,17,Weapons
2020,2020-01,07,WEAPONS OFFENSES,10,Weapons
2020,2020-01,08,WEAPONS OFFENSES,31,Weapons
2020,2020-01,09,WEAPONS OFFENSES,33,Weapons
2020,2020-01,10,WEAPONS OFFENSES,7,Weapons
2020,2020-01,11,WEAPONS OFFENSES,11,Weapons
2020,2020-01,12,WEAPONS OFFENSES,6,Weapons
2020,2020-02,02,WEAPONS OFFENSES,8,Weapons
2020,2020-02,03,WEAPONS OFFENSES,7,Weapons
2020,2020-02,04,WEAPONS OFFENSES,7,Weapons
2020,2020-02,05,WEAPONS OFFENSES,5,Weapons
2020,2020-02,06,WEAPONS OFFENSES,9,Weapons
2020,2020-02,07,WEAPONS OFFENSES,8,Weapons
2020,2020-02,08,WEAPONS OFFENSES,22,Weapons
2020,2020-02,09,WEAPONS OFFENSES,29,Weapons
2020,2020-02,10,WEAPONS OFFENSES,17,Weapons
2020,2020-02,11,WEAPONS OFFENSES,10,Weapons
2020,2020-02,12,WEAPONS OFFENSES,16,Weapons
2020,2020-03,02,WEAPONS OFFENSES,10,Weapons
2020,2020-03,03,WEAPONS OFFENSES,7,Weapons
2020,2020-03,04,WEAPONS OFFENSES,8,Weapons
2020,2020-03,05,WEAPONS OFFENSES,10,Weapons
2020,2020-03,06,WEAPONS OFFENSES,20,Weapons
2020,2020-03,07,WEAPONS OFFENSES,9,Weapons
2020,2020-03,08,WEAPONS OFFENSES,20,Weapons
2020,2020-03,09,WEAPONS OFFENSES,34,Weapons
2020,2020-03,10,WEAPONS OFFENSES,12,Weapons
2020,2020-03,11,WEAPONS OFFENSES,13,Weapons
2020,2020-03,12,WEAPONS OFFENSES,4,Weapons
2020,2020-04,02,WEAPONS OFFENSES,8,Weapons
2020,2020-04,03,WEAPONS OFFENSES,6,Weapons
2020,2020-04,04,WEAPONS OFFENSES,11,Weapons
2020,2020-04,05,WEAPONS OFFENSES,13,Weapons
2020,2020-04,06,WEAPONS OFFENSES,15,Weapons
2020,2020-04,07,WEAPONS OFFENSES,14,Weapons
2020,2020-04,08,WEAPONS OFFENSES,43,Weapons
2020,2020-04,09,WEAPONS OFFENSES,41,Weapons
2020,2020-04,10,WEAPONS OFFENSES,11,Weapons
2020,2020-04,11,WEAPONS OFFENSES,13,Weapons
2020,2020-04,12,WEAPONS OFFENSES,11,Weapons
2020,2020-05,02,WEAPONS OFFENSES,30,Weapons
2020,2020-05,03,WEAPONS OFFENSES,18,Weapons
2020,2020-05,04,WEAPONS OFFENSES,21,Weapons
2020,2020-05,05,WEAPONS OFFENSES,39,Weapons
2020,2020-05,06,WEAPONS OFFENSES,36,Weapons
2020,2020-05,07,WEAPONS OFFENSES,18,Weapons
2020,2020-05,08,WEAPONS OFFENSES,79,Weapons
2020,2020-05,09,WEAPONS OFFENSES,55,Weapons
2020,2020-05,10,WEAPONS OFFENSES,32,Weapons
2020,2020-05,11,WEAPONS OFFENSES,31,Weapons
